id,timestamp,mq135,mq2,mq4,mq7,jenis
28295,2025-06-02T16:17:42,0.202,0.2,1.023,2.001,50%arabika+50%robusta
28296,2025-06-02T16:17:44,0.202,0.2,1.024,2.0,50%arabika+50%robusta
28297,2025-06-02T16:17:45,0.202,0.201,1.024,2.001,50%arabika+50%robusta
28298,2025-06-02T16:17:46,0.202,0.201,1.024,2.002,50%arabika+50%robusta
28299,2025-06-02T16:17:47,0.202,0.201,1.025,2.002,50%arabika+50%robusta
28300,2025-06-02T16:17:48,0.203,0.201,1.026,2.006,50%arabika+50%robusta
28301,2025-06-02T16:17:49,0.203,0.202,1.027,2.007,50%arabika+50%robusta
28302,2025-06-02T16:17:50,0.203,0.202,1.027,2.008,50%arabika+50%robusta
28303,2025-06-02T16:17:51,0.203,0.202,1.028,2.009,50%arabika+50%robusta
28304,2025-06-02T16:17:52,0.203,0.202,1.029,2.01,50%arabika+50%robusta
28305,2025-06-02T16:17:53,0.203,0.202,1.029,2.01,50%arabika+50%robusta
28306,2025-06-02T16:17:54,0.203,0.202,1.028,2.006,50%arabika+50%robusta
28307,2025-06-02T16:17:55,0.203,0.202,1.028,2.008,50%arabika+50%robusta
28308,2025-06-02T16:17:56,0.203,0.202,1.028,2.009,50%arabika+50%robusta
28309,2025-06-02T16:17:57,0.203,0.202,1.028,2.009,50%arabika+50%robusta
28310,2025-06-02T16:17:59,0.203,0.203,1.03,2.013,50%arabika+50%robusta
28311,2025-06-02T16:18:00,0.203,0.203,1.031,2.014,50%arabika+50%robusta
28312,2025-06-02T16:18:01,0.204,0.203,1.031,2.016,50%arabika+50%robusta
28313,2025-06-02T16:18:02,0.204,0.203,1.032,2.017,50%arabika+50%robusta
28314,2025-06-02T16:18:03,0.204,0.203,1.033,2.018,50%arabika+50%robusta
28315,2025-06-02T16:18:04,0.204,0.203,1.032,2.016,50%arabika+50%robusta
28316,2025-06-02T16:18:05,0.204,0.204,1.032,2.016,50%arabika+50%robusta
28317,2025-06-02T16:18:06,0.204,0.204,1.032,2.017,50%arabika+50%robusta
28318,2025-06-02T16:18:07,0.204,0.204,1.032,2.018,50%arabika+50%robusta
28319,2025-06-02T16:18:08,0.204,0.204,1.032,2.017,50%arabika+50%robusta
28320,2025-06-02T16:18:09,0.204,0.204,1.034,2.022,50%arabika+50%robusta
28321,2025-06-02T16:18:10,0.204,0.205,1.035,2.023,50%arabika+50%robusta
28322,2025-06-02T16:18:11,0.204,0.205,1.036,2.024,50%arabika+50%robusta
