id,timestamp,mq135,mq2,mq4,mq7,jenis
28903,2025-06-02T16:33:11,0.221,0.238,1.119,2.257,60%arabika+40%robusta
28904,2025-06-02T16:33:12,0.222,0.239,1.121,2.26,60%arabika+40%robusta
28905,2025-06-02T16:33:13,0.222,0.239,1.124,2.266,60%arabika+40%robusta
28906,2025-06-02T16:33:15,0.222,0.24,1.125,2.268,60%arabika+40%robusta
28907,2025-06-02T16:33:16,0.223,0.24,1.127,2.268,60%arabika+40%robusta
28908,2025-06-02T16:33:17,0.223,0.241,1.128,2.268,60%arabika+40%robusta
28909,2025-06-02T16:33:18,0.223,0.241,1.129,2.264,60%arabika+40%robusta
28910,2025-06-02T16:33:19,0.223,0.241,1.13,2.263,60%arabika+40%robusta
28911,2025-06-02T16:33:20,0.223,0.241,1.13,2.261,60%arabika+40%robusta
28912,2025-06-02T16:33:21,0.224,0.241,1.131,2.261,60%arabika+40%robusta
28913,2025-06-02T16:33:22,0.224,0.241,1.132,2.261,60%arabika+40%robusta
28914,2025-06-02T16:33:23,0.224,0.242,1.134,2.264,60%arabika+40%robusta
28915,2025-06-02T16:33:24,0.225,0.242,1.135,2.266,60%arabika+40%robusta
28916,2025-06-02T16:33:25,0.225,0.243,1.137,2.268,60%arabika+40%robusta
28917,2025-06-02T16:33:26,0.225,0.243,1.138,2.269,60%arabika+40%robusta
28918,2025-06-02T16:33:27,0.225,0.243,1.139,2.269,60%arabika+40%robusta
28919,2025-06-02T16:33:29,0.225,0.243,1.138,2.266,60%arabika+40%robusta
28920,2025-06-02T16:33:30,0.225,0.243,1.139,2.267,60%arabika+40%robusta
28921,2025-06-02T16:33:31,0.225,0.244,1.139,2.267,60%arabika+40%robusta
28922,2025-06-02T16:33:32,0.225,0.244,1.14,2.267,60%arabika+40%robusta
28923,2025-06-02T16:33:33,0.226,0.244,1.141,2.265,60%arabika+40%robusta
28924,2025-06-02T16:33:34,0.226,0.245,1.143,2.271,60%arabika+40%robusta
28925,2025-06-02T16:33:35,0.226,0.245,1.143,2.272,60%arabika+40%robusta
28926,2025-06-02T16:33:36,0.226,0.245,1.144,2.271,60%arabika+40%robusta
28927,2025-06-02T16:33:37,0.226,0.245,1.145,2.272,60%arabika+40%robusta
28928,2025-06-02T16:33:38,0.226,0.245,1.144,2.268,60%arabika+40%robusta
28929,2025-06-02T16:33:39,0.226,0.245,1.144,2.268,60%arabika+40%robusta
28930,2025-06-02T16:33:40,0.226,0.245,1.145,2.267,60%arabika+40%robusta
28931,2025-06-02T16:33:41,0.226,0.246,1.145,2.269,60%arabika+40%robusta
28932,2025-06-02T16:33:42,0.226,0.246,1.145,2.269,60%arabika+40%robusta
28933,2025-06-02T16:33:43,0.227,0.247,1.147,2.273,60%arabika+40%robusta
28934,2025-06-02T16:33:45,0.227,0.247,1.148,2.274,60%arabika+40%robusta
28935,2025-06-02T16:33:46,0.227,0.247,1.149,2.275,60%arabika+40%robusta
28936,2025-06-02T16:33:47,0.227,0.247,1.149,2.276,60%arabika+40%robusta
28937,2025-06-02T16:33:48,0.227,0.247,1.149,2.273,60%arabika+40%robusta
28938,2025-06-02T16:33:49,0.227,0.247,1.149,2.273,60%arabika+40%robusta
28939,2025-06-02T16:33:50,0.227,0.248,1.149,2.274,60%arabika+40%robusta
