id,timestamp,mq135,mq2,mq4,mq7,jenis
31424,2025-06-02T17:30:57,0.203,0.196,0.995,2.008,90%arabika+10%robusta
31425,2025-06-02T17:30:58,0.204,0.197,0.994,2.008,90%arabika+10%robusta
31426,2025-06-02T17:30:59,0.204,0.197,0.995,2.009,90%arabika+10%robusta
31427,2025-06-02T17:31:01,0.204,0.197,0.993,2.004,90%arabika+10%robusta
31428,2025-06-02T17:31:02,0.204,0.196,0.993,2.003,90%arabika+10%robusta
31429,2025-06-02T17:31:03,0.204,0.196,0.993,2.001,90%arabika+10%robusta
31430,2025-06-02T17:31:04,0.204,0.196,0.993,2.002,90%arabika+10%robusta
31431,2025-06-02T17:31:05,0.203,0.196,0.991,2.0,90%arabika+10%robusta
31432,2025-06-02T17:31:06,0.204,0.197,0.993,2.005,90%arabika+10%robusta
31433,2025-06-02T17:31:07,0.204,0.197,0.994,2.007,90%arabika+10%robusta
31434,2025-06-02T17:31:08,0.204,0.197,0.994,2.009,90%arabika+10%robusta
31435,2025-06-02T17:31:09,0.204,0.197,0.994,2.01,90%arabika+10%robusta
31436,2025-06-02T17:31:10,0.204,0.196,0.993,2.011,90%arabika+10%robusta
31437,2025-06-02T17:31:11,0.203,0.196,0.992,2.008,90%arabika+10%robusta
31438,2025-06-02T17:31:12,0.203,0.196,0.991,2.009,90%arabika+10%robusta
31439,2025-06-02T17:31:13,0.203,0.196,0.992,2.009,90%arabika+10%robusta
31440,2025-06-02T17:31:14,0.203,0.195,0.991,2.009,90%arabika+10%robusta
31441,2025-06-02T17:31:15,0.203,0.195,0.992,2.013,90%arabika+10%robusta
31442,2025-06-02T17:31:17,0.203,0.196,0.992,2.014,90%arabika+10%robusta
31443,2025-06-02T17:31:18,0.203,0.195,0.992,2.015,90%arabika+10%robusta
31444,2025-06-02T17:31:19,0.203,0.195,0.992,2.016,90%arabika+10%robusta
31445,2025-06-02T17:31:20,0.203,0.195,0.992,2.017,90%arabika+10%robusta
31446,2025-06-02T17:31:21,0.203,0.195,0.991,2.015,90%arabika+10%robusta
31447,2025-06-02T17:31:22,0.203,0.195,0.991,2.015,90%arabika+10%robusta
31448,2025-06-02T17:31:23,0.203,0.195,0.99,2.014,90%arabika+10%robusta
31449,2025-06-02T17:31:24,0.203,0.195,0.99,2.014,90%arabika+10%robusta
31450,2025-06-02T17:31:25,0.203,0.195,0.99,2.014,90%arabika+10%robusta
31451,2025-06-02T17:31:26,0.203,0.195,0.992,2.018,90%arabika+10%robusta
31452,2025-06-02T17:31:27,0.203,0.196,0.992,2.019,90%arabika+10%robusta
31453,2025-06-02T17:31:28,0.203,0.196,0.992,2.019,90%arabika+10%robusta
31454,2025-06-02T17:31:29,0.204,0.196,0.992,2.02,90%arabika+10%robusta
31455,2025-06-02T17:31:31,0.203,0.195,0.991,2.017,90%arabika+10%robusta
31456,2025-06-02T17:31:32,0.203,0.196,0.99,2.017,90%arabika+10%robusta
31457,2025-06-02T17:31:33,0.203,0.195,0.99,2.016,90%arabika+10%robusta
31458,2025-06-02T17:31:34,0.203,0.196,0.99,2.015,90%arabika+10%robusta
31459,2025-06-02T17:31:35,0.203,0.196,0.99,2.015,90%arabika+10%robusta
31460,2025-06-02T17:31:36,0.203,0.196,0.991,2.018,90%arabika+10%robusta
31461,2025-06-02T17:31:37,0.203,0.196,0.991,2.019,90%arabika+10%robusta
31462,2025-06-02T17:31:38,0.203,0.196,0.99,2.018,90%arabika+10%robusta
31463,2025-06-02T17:31:39,0.203,0.196,0.991,2.02,90%arabika+10%robusta
31464,2025-06-02T17:31:40,0.203,0.196,0.991,2.017,90%arabika+10%robusta
31465,2025-06-02T17:31:41,0.203,0.196,0.99,2.015,90%arabika+10%robusta
31466,2025-06-02T17:31:42,0.203,0.196,0.99,2.014,90%arabika+10%robusta
31467,2025-06-02T17:31:43,0.203,0.196,0.99,2.012,90%arabika+10%robusta
31468,2025-06-02T17:31:44,0.203,0.196,0.99,2.011,90%arabika+10%robusta
31469,2025-06-02T17:31:46,0.203,0.196,0.991,2.014,90%arabika+10%robusta
31470,2025-06-02T17:31:47,0.203,0.197,0.991,2.015,90%arabika+10%robusta
31471,2025-06-02T17:31:48,0.203,0.197,0.991,2.016,90%arabika+10%robusta
31472,2025-06-02T17:31:49,0.203,0.197,0.99,2.016,90%arabika+10%robusta
31473,2025-06-02T17:31:50,0.203,0.197,0.991,2.018,90%arabika+10%robusta
31474,2025-06-02T17:31:51,0.203,0.197,0.991,2.018,90%arabika+10%robusta
31475,2025-06-02T17:31:52,0.203,0.197,0.991,2.018,90%arabika+10%robusta
31476,2025-06-02T17:31:53,0.203,0.197,0.991,2.019,90%arabika+10%robusta
31477,2025-06-02T17:31:54,0.203,0.197,0.99,2.019,90%arabika+10%robusta
31478,2025-06-02T17:31:55,0.203,0.196,0.988,2.014,90%arabika+10%robusta
31479,2025-06-02T17:31:56,0.203,0.197,0.989,2.014,90%arabika+10%robusta
31480,2025-06-02T17:31:57,0.203,0.197,0.989,2.015,90%arabika+10%robusta
31481,2025-06-02T17:31:59,0.203,0.197,0.99,2.013,90%arabika+10%robusta
31482,2025-06-02T17:32:00,0.203,0.197,0.99,2.011,90%arabika+10%robusta
31483,2025-06-02T17:32:01,0.202,0.196,0.988,2.007,90%arabika+10%robusta
31484,2025-06-02T17:32:02,0.202,0.196,0.988,2.005,90%arabika+10%robusta
31485,2025-06-02T17:32:03,0.202,0.196,0.987,2.004,90%arabika+10%robusta
31486,2025-06-02T17:32:04,0.202,0.196,0.987,2.003,90%arabika+10%robusta
31487,2025-06-02T17:32:05,0.202,0.196,0.987,2.002,90%arabika+10%robusta
31488,2025-06-02T17:32:06,0.202,0.196,0.988,2.002,90%arabika+10%robusta
31489,2025-06-02T17:32:07,0.202,0.196,0.988,2.003,90%arabika+10%robusta
31490,2025-06-02T17:32:08,0.202,0.196,0.988,2.003,90%arabika+10%robusta
31491,2025-06-02T17:32:09,0.202,0.196,0.988,2.002,90%arabika+10%robusta
31492,2025-06-02T17:32:10,0.202,0.196,0.984,1.995,90%arabika+10%robusta
31493,2025-06-02T17:32:11,0.202,0.196,0.986,1.999,90%arabika+10%robusta
31494,2025-06-02T17:32:12,0.202,0.196,0.986,1.999,90%arabika+10%robusta
31495,2025-06-02T17:32:13,0.202,0.196,0.986,2.0,90%arabika+10%robusta
31496,2025-06-02T17:32:15,0.202,0.195,0.986,2.001,90%arabika+10%robusta
31497,2025-06-02T17:32:16,0.202,0.196,0.987,2.004,90%arabika+10%robusta
31498,2025-06-02T17:32:17,0.202,0.196,0.987,2.005,90%arabika+10%robusta
31499,2025-06-02T17:32:18,0.202,0.196,0.987,2.006,90%arabika+10%robusta
31500,2025-06-02T17:32:19,0.202,0.196,0.987,2.006,90%arabika+10%robusta
31501,2025-06-02T17:32:20,0.202,0.195,0.987,2.006,90%arabika+10%robusta
31502,2025-06-02T17:32:21,0.202,0.195,0.987,2.007,90%arabika+10%robusta
31503,2025-06-02T17:32:22,0.202,0.195,0.987,2.007,90%arabika+10%robusta
31504,2025-06-02T17:32:23,0.202,0.196,0.987,2.007,90%arabika+10%robusta
31505,2025-06-02T17:32:24,0.202,0.196,0.988,2.008,90%arabika+10%robusta
31506,2025-06-02T17:32:25,0.202,0.195,0.986,2.007,90%arabika+10%robusta
31507,2025-06-02T17:32:26,0.202,0.196,0.987,2.008,90%arabika+10%robusta
31508,2025-06-02T17:32:27,0.202,0.196,0.988,2.009,90%arabika+10%robusta
31509,2025-06-02T17:32:29,0.202,0.196,0.988,2.01,90%arabika+10%robusta
31510,2025-06-02T17:32:30,0.202,0.196,0.988,2.01,90%arabika+10%robusta
31511,2025-06-02T17:32:31,0.202,0.196,0.987,2.007,90%arabika+10%robusta
31512,2025-06-02T17:32:32,0.202,0.196,0.987,2.008,90%arabika+10%robusta
31513,2025-06-02T17:32:33,0.202,0.196,0.987,2.008,90%arabika+10%robusta
31514,2025-06-02T17:32:34,0.202,0.196,0.987,2.008,90%arabika+10%robusta
31515,2025-06-02T17:32:35,0.202,0.196,0.987,2.008,90%arabika+10%robusta
31516,2025-06-02T17:32:36,0.202,0.196,0.988,2.012,90%arabika+10%robusta
31517,2025-06-02T17:32:37,0.202,0.196,0.988,2.013,90%arabika+10%robusta
31518,2025-06-02T17:32:38,0.202,0.196,0.988,2.013,90%arabika+10%robusta
31519,2025-06-02T17:32:39,0.202,0.197,0.989,2.014,90%arabika+10%robusta
31520,2025-06-02T17:32:40,0.202,0.196,0.988,2.011,90%arabika+10%robusta
31521,2025-06-02T17:32:41,0.202,0.197,0.988,2.011,90%arabika+10%robusta
31522,2025-06-02T17:32:42,0.202,0.197,0.988,2.011,90%arabika+10%robusta
31523,2025-06-02T17:32:44,0.202,0.197,0.988,2.012,90%arabika+10%robusta
31524,2025-06-02T17:32:45,0.202,0.197,0.988,2.012,90%arabika+10%robusta
31525,2025-06-02T17:32:46,0.202,0.197,0.989,2.014,90%arabika+10%robusta
31526,2025-06-02T17:32:47,0.202,0.197,0.989,2.015,90%arabika+10%robusta
31527,2025-06-02T17:32:48,0.202,0.197,0.989,2.015,90%arabika+10%robusta
31528,2025-06-02T17:32:49,0.202,0.197,0.989,2.015,90%arabika+10%robusta
31529,2025-06-02T17:32:50,0.202,0.197,0.989,2.013,90%arabika+10%robusta
31530,2025-06-02T17:32:51,0.202,0.197,0.989,2.014,90%arabika+10%robusta
31531,2025-06-02T17:32:52,0.202,0.197,0.989,2.014,90%arabika+10%robusta
31532,2025-06-02T17:32:53,0.202,0.197,0.989,2.014,90%arabika+10%robusta
31533,2025-06-02T17:32:54,0.202,0.198,0.989,2.015,90%arabika+10%robusta
31534,2025-06-02T17:32:55,0.202,0.198,0.989,2.015,90%arabika+10%robusta
31535,2025-06-02T17:32:56,0.202,0.198,0.99,2.017,90%arabika+10%robusta
31536,2025-06-02T17:32:57,0.202,0.198,0.991,2.019,90%arabika+10%robusta
31537,2025-06-02T17:32:59,0.202,0.198,0.991,2.019,90%arabika+10%robusta
31538,2025-06-02T17:33:00,0.202,0.198,0.991,2.018,90%arabika+10%robusta
31539,2025-06-02T17:33:01,0.202,0.198,0.99,2.016,90%arabika+10%robusta
31540,2025-06-02T17:33:02,0.202,0.198,0.99,2.015,90%arabika+10%robusta
31541,2025-06-02T17:33:03,0.202,0.198,0.99,2.015,90%arabika+10%robusta
31542,2025-06-02T17:33:04,0.202,0.198,0.989,2.015,90%arabika+10%robusta
31543,2025-06-02T17:33:05,0.202,0.198,0.99,2.016,90%arabika+10%robusta
31544,2025-06-02T17:33:06,0.202,0.198,0.992,2.019,90%arabika+10%robusta
31545,2025-06-02T17:33:07,0.202,0.198,0.992,2.02,90%arabika+10%robusta
31546,2025-06-02T17:33:08,0.202,0.198,0.992,2.021,90%arabika+10%robusta
31547,2025-06-02T17:33:09,0.202,0.198,0.992,2.021,90%arabika+10%robusta
31548,2025-06-02T17:33:10,0.202,0.198,0.991,2.018,90%arabika+10%robusta
31549,2025-06-02T17:33:11,0.202,0.198,0.993,2.022,90%arabika+10%robusta
